neuron,category,formula,threshold
484,(((object AND scene) OR scene OR object OR object OR object OR part OR object) AND NOT (material OR object)),(((sofa AND living room-s) OR library-outdoor-s OR service station OR chimney OR water tower OR back pillow OR coffee table) AND NOT (carpet OR floor)),5.4
485,((((((scene AND color) OR scene OR scene) AND object) OR object OR scene OR scene) AND NOT color) OR scene),((((((street-s AND brown-c) OR alley-s OR canal-urban-s) AND building) OR covered bridge OR moat-water-s OR freeway-s) AND NOT green-c) OR alley-s),5.0
486,((((scene OR scene OR object OR scene OR scene) AND NOT object) OR object OR scene OR object) AND NOT scene),((((jacuzzi-indoor-s OR art gallery-s OR pool table OR jacuzzi-outdoor-s OR hot tub-indoor-s) AND NOT floor) OR hot tub OR jacuzzi-indoor-s OR aquarium) AND NOT game room-s),4.4
487,((object OR scene OR scene OR scene OR scene OR scene OR object OR object) AND NOT (scene OR object)),((grandstand OR theater-indoor procenium-s OR auditorium-s OR bullring-s OR amphitheater-s OR stadium-baseball-s OR bandstand OR ice rink) AND NOT (ice skating rink-outdoor-s OR earth)),3.7
488,(((object OR object OR object OR scene OR object OR object OR object OR object) AND NOT object) OR object),(((tent OR canopy OR bandstand OR television studio-s OR big top OR water tower OR dome OR television camera) AND NOT curtain) OR greenhouse),4.0
489,(((scene OR scene OR object OR scene OR scene OR scene OR object) AND NOT object) OR material OR object),(((bakery-shop-s OR market-outdoor-s OR fruit OR liquor store-indoor-s OR ball pit-s OR liquor store-outdoor-s OR bottle) AND NOT person) OR food OR ball),4.9
490,(object OR object OR scene OR object OR object),(pool table OR table tennis OR poolroom-establishment-s OR table football OR ring),5.9
491,(object OR scene OR scene OR object OR scene OR object OR object OR scene OR scene OR scene),(autobus OR excavation-s OR manufactured home-s OR caravan OR chalet-s OR truck OR windmill OR harbor-s OR industrial area-s OR fire station-s),4.2
492,(scene OR scene OR scene OR scene OR object OR scene OR object OR scene OR object OR scene),(cloister-indoor-s OR cavern-indoor-s OR covered bridge-interior-s OR mine-s OR hovel OR catacomb-s OR covered bridge OR elevator shaft-s OR shelter OR parking garage-indoor-s),3.3
493,(object OR scene OR scene OR object OR object OR scene OR object OR object OR object OR scene),(animal OR dolmen-s OR natural history museum-s OR sculpture OR cow OR junkyard-s OR skeleton OR elephant OR bell OR hut-s),3.8
494,((scene OR object OR object OR object OR scene OR object OR scene OR object OR object) AND NOT scene),((gymnasium-indoor-s OR toilet OR washer OR plane OR marsh-s OR stretcher OR control tower-indoor-s OR bowl OR pier) AND NOT museum-indoor-s),3.9
495,((scene OR object OR object OR scene OR object OR object OR scene OR scene) AND NOT (color OR scene)),((closet-s OR greenhouse OR cradle OR supermarket-s OR apparel OR henhouse OR kennel-indoor-s OR shed-s) AND NOT (yellow-c OR greenhouse-indoor-s)),4.4
496,((scene OR scene OR scene OR scene OR scene OR object) AND NOT object),((auditorium-s OR theater-indoor procenium-s OR conference center-s OR movie theater-indoor-s OR ball pit-s OR fruit) AND NOT desk),4.9
497,((scene OR scene OR scene OR scene OR scene OR scene OR object) AND NOT object),((cockpit-s OR bus interior-s OR airplane cabin-s OR subway interior-s OR dining car-s OR runway-s OR bulldozer) AND NOT table),4.4
498,((((scene OR scene OR scene OR scene OR scene) AND NOT object) OR scene) AND NOT object),((((corridor-s OR warehouse-indoor-s OR cathedral-indoor-s OR gift shop-s OR workshop-s) AND NOT bench) OR hunting lodge-indoor-s) AND NOT bookcase),5.1
499,(((object AND NOT part) OR object OR part) AND NOT (object OR scene OR scene)),(((sofa AND NOT outside arm) OR cushion OR inside arm) AND NOT (chair OR childs room-s OR home theater-s)),6.4
500,(scene OR scene OR scene OR scene OR object OR object OR object OR object OR object OR object),(cemetery-s OR ruin-s OR industrial area-s OR nuclear power plant-outdoor-s OR lighthouse OR water tower OR temple OR railway OR ruins OR chimney),4.4
501,(((object OR object OR object OR object OR scene OR object OR object OR object) AND NOT object) OR object),(((washer OR water tower OR windmill OR washing machines OR field-cultivated-s OR tumble dryer OR truck OR railroad train) AND NOT grass) OR bowling alley),4.7
502,(((object OR object OR object OR object OR object OR object OR object OR object) AND NOT object) OR object),(((book OR bookcase OR apparel OR shirt OR jacket OR videos OR trouser OR book stand) AND NOT wall) OR jacket),4.5
503,(((scene AND object) OR object OR object OR object OR scene OR object OR object OR scene) AND NOT object),(((kitchen-s AND wall) OR stove OR work surface OR sink OR hot spring-s OR countertop OR microwave OR jacuzzi-outdoor-s) AND NOT windowpane),5.6
504,(((object OR object OR scene OR object OR object OR object OR scene OR scene) AND NOT color) OR object),(((rock OR waterfall OR creek-s OR rubbish OR animal OR elephant OR catwalk-s OR mountain path-s) AND NOT green-c) OR rubble),3.8
505,(scene OR scene OR object OR scene OR scene OR part OR scene OR object OR scene OR scene),(bullring-s OR sandbox-s OR hot tub OR hot tub-indoor-s OR amphitheater-s OR wave OR cheese factory-s OR playground OR jacuzzi-indoor-s OR hot tub-outdoor-s),4.4
506,(scene OR scene OR scene OR scene OR object OR scene OR object OR scene OR scene OR scene),(bow window-outdoor-s OR gazebo-exterior-s OR shopfront-s OR balcony-exterior-s OR stage OR cabana-s OR altar OR stage-indoor-s OR dugout-s OR hut-s),3.8
507,(((((((object AND color) AND NOT scene) OR scene OR scene) AND NOT scene) OR scene) AND object) OR scene OR scene),(((((((building AND brown-c) AND NOT building facade-s) OR church-outdoor-s OR kasbah-s) AND NOT street-s) OR courthouse-s) AND building) OR kasbah-s OR chalet-s),4.4
508,(object OR object OR object OR object OR scene OR object OR object OR object OR object OR object),(computer OR stove OR television OR microwave OR music studio-s OR crt screen OR oven OR laptop OR autobus OR monitoring device),6.5
509,(scene OR scene OR scene OR object OR object OR object OR scene OR object OR object OR object),(medina-s OR slum-s OR junkyard-s OR rubbish OR rubble OR steam shovel OR junk pile-s OR bell OR shanties OR machinery),3.6
510,(scene OR scene OR object OR object OR object OR scene OR object OR scene OR scene OR scene),(dam-s OR waterfall-block-s OR greenhouse OR dome OR tank OR industrial area-s OR dam OR kennel-outdoor-s OR herb garden-s OR museum-outdoor-s),4.1
511,(((((object OR scene) AND NOT scene) OR scene OR scene OR scene OR scene) AND NOT scene) OR object OR part),(((((car OR hospital-s) AND NOT street-s) OR office building-s OR parking garage-outdoor-s OR student residence-s OR auto showroom-s) AND NOT building facade-s) OR service station OR windows),5.1
